"PELLID","Institution","State","Recipients","Awards"
"1061","Alaska Pacific University","AK","107","240007"
"31603","Alaska Vocational Technical Center","AK","70","173735.23999999999"
"17066","Career Academy","AK","224","456453.19"
"17377","Charter College","AK","268","502614.73999999999"
"34613","Ilisagvik College","AK","34","58847"
"1062","Sheldon Jackson College","AK","71","160222.67999999999"
"11462","University Of Alaska - Anchorage","AK","1941","4019437.5"
"1063","University Of Alaska At Fairbanks","AK","1162","2625851"
"1065","University Of Alaska At Southeast","AK","251","503308"
"1002","Alabama Agricultural & Mechanical University","AL","2865","8124380.3700000001"
"1034","Alabama Southern Community College","AL","888","2222995.25"
"30325","Alabama State College Of Barber Styling","AL","27","65747.5"
"1005","Alabama State University","AL","3509","9579003.8699999992"
"1008","Athens State University","AL","877","1857241"
"1009","Auburn University","AL","3076","7583679"
"8310","Auburn University Montgomery","AL","1632","3924260"
"5704","Bessemer State Technical College","AL","951","1458148"
"5733","Bevill State Community College","AL","2368","5350278.9000000004"
"1012","Birmingham Southern College","AL","182","426037"
"1030","Bishop State Community College - Main Campus","AL","3988","9121282.3800000008"
"1013","Calhoun State Community College","AL","3092","6434887.9900000002"
"16592","Capps College","AL","1070","2036291.3700000001"
"1007","Central Alabama Community College","AL","997","1669942.28"
"12182","Chattahoochee Valley Community College","AL","1067","2413061.27"
"10554","Concordia College","AL","767","1997330"
"5698","Douglas Macarthur State Technical College","AL","419","718049"
"26055","Education America - Southeast College Of Technology","AL","2275","4639994.3399999999"
"1015","Enterprise State Junior College","AL","801","1748781.0800000001"
"1060","Faulkner State Community College","AL","1474","2981960"
"1003","Faulkner University","AL","1459","3304347.3599999999"
"4462","Gadsden Business College","AL","269","517906"
"1017","Gadsden State Community College","AL","1895","4268901"
"16445","Gaither & Company Beauty College","AL","88","198794.17999999999"
"1018","George C. Wallace Community College","AL","2384","4545164.0499999998"
"7871","George C. Wallace State Community College","AL","2094","5045039.4000000004"
"9980","George Corley Wallace State Community College","AL","1378","3093080.0099999998"
"5705","Harry M Ayers State Technical College","AL","796","1465812.8"
"10193","Herzing College","AL","484","992475"
"1019","Huntingdon College","AL","171","440248"
"15370","International Bible College","AL","80","170729"
"5260","J F Drake State Technical College","AL","472","1052791.9099999999"
"1020","Jacksonville State University","AL","2978","7474579"
"1021","Jefferson Davis Community College","AL","828","1783277.8899999999"
"1022","Jefferson State Community College","AL","1664","3313126.73"
"5693","John M. Patterson State Technical College","AL","588","926821.72999999998"
"1023","Judson College","AL","148","358125.54999999999"
