"OPEID","Institution","State","Recipients","Awards"
"106100","ALASKA PACIFIC UNIVERSITY","AK","110","268100"
"3160300","ALASKA VOCATIONAL TECHNICAL CENTER","AK","79","206445.60999999999"
"2541000","CAREER ACADEMY","AK","244","537801.97999999998"
"2576900","CHARTER COLLEGE","AK","260","506867.96000000002"
"3461300","ILISAGVIK COLLEGE","AK","94","196369"
"106200","SHELDON JACKSON COLLEGE","AK","69","161015.41"
"1146200","UNIVERSITY OF ALASKA - ANCHORAGE","AK","2257","4799012"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","AK","1280","2952984"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","AK","314","669813"
"100200","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","3242","9000135"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","947","2560714.4500000002"
"3032500","ALABAMA STATE COLLEGE OF BARBER STYLING","AL","37","109319"
"100500","ALABAMA STATE UNIVERSITY","AL","3810","11036183.699999999"
"100800","ATHENS STATE UNIVERSITY","AL","887","2076359"
"100900","AUBURN UNIVERSITY","AL","3057","7884228"
"831000","AUBURN UNIVERSITY MONTGOMERY","AL","1626","4070073.6499999999"
"570400","BESSEMER STATE TECHNICAL COLLEGE","AL","1032","1752941.8500000001"
"573300","BEVILL STATE COMMUNITY COLLEGE","AL","759","1754643.6100000001"
"573301","BEVILL STATE COMMUNITY COLLEGE - BREWER CAMPUS","AL","610","1445103.7"
"573302","BEVILL STATE COMMUNITY COLLEGE - HAMILTON CAMPUS","AL","632","1564776.1799999999"
"573305","BEVILL STATE COMMUNITY COLLEGE - WALKER COLLEGE CAMPUS","AL","678","1576708"
"101200","BIRMINGHAM SOUTHERN COLLEGE","AL","172","445231"
"103000","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","4312","11145000.800000001"
"101300","CALHOUN COMMUNITY COLLEGE-DECATUR","AL","3542","7740969.96"
"2341000","CAPPS COLLEGE","AL","1097","2186152"
"3361400","CAPPS COLLEGE","AL","158","338831"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","1120","1950784.6799999999"
"1218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL","1255","3161707"
"1055400","CONCORDIA COLLEGE","AL","855","2340301.0299999998"
"569800","DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE","AL","454","748638"
"101500","ENTERPRISE-OZARK COMMUNITY COLLEGE","AL","793","1893985.97"
"106000","FAULKNER STATE COMMUNITY COLLEGE","AL","1617","3677683"
"100300","FAULKNER UNIVERSITY","AL","1586","3931104.0699999998"
"446200","GADSDEN BUSINESS COLLEGE","AL","266","566507.68000000005"
"101700","GADSDEN STATE COMMUNITY COLLEGE","AL","2122","4993614"
"101706","GADSDEN STATE COMMUNITY COLLEGE - HARRY M. AYERS CAMPUS","AL","1131","2288085.0499999998"
"2323800","GAITHER & COMPANY BEAUTY COLLEGE","AL","53","141437.66"
"101800","GEORGE C. WALLACE COMMUNITY COLLEGE","AL","2489","4836469.5199999996"
"787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","AL","2603","6758960.0999999996"
"569900","GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION","AL","1550","3815314.0600000001"
"2199700","HERITAGE CHRISTIAN UNIVERSITY","AL","71","162181"
"1019300","HERZING COLLEGE","AL","422","974949"
"101900","HUNTINGDON COLLEGE","AL","194","475103"
"526000","J F DRAKE STATE TECHNICAL COLLEGE","AL","666","1537412.5600000001"
"102000","JACKSONVILLE STATE UNIVERSITY","AL","3134","8318045"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","AL","974","2411904.73"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","AL","1985","4304626"
"569300","JOHN M. PATTERSON STATE TECHNICAL COLLEGE","AL","632","1066187.9199999999"
"102300","JUDSON COLLEGE","AL","156","384317.32000000001"
"105900","LAWSON STATE COMMUNITY COLLEGE","AL","1924","5182152.8499999996"
"898800","LURLEEN B. WALLACE STATE JUNIOR COLLEGE-","AL","475","1284663.5"
"102600","MARION MILITARY INSTITUTE","AL","66","171660"
"102800","MILES COLLEGE","AL","1669","4835681.5"
"103100","NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","1201","2593832"
"569702","NORTHWEST - SHOALS COMMUNITY COLLEGE - PHIL CAMPBELL CAMPUS","AL","521","1308929.3100000001"
"569700","NORTHWEST-SHOALS COMMUNITY COLLEGE","AL","2125","5141395.3200000003"
"103300","OAKWOOD COLLEGE","AL","795","2225767"
"2296000","PRINCE INSTITUTE OF PROFESSIONAL STUDIES","AL","69","152435.51999999999"
"569200","REID STATE TECHNICAL COLLEGE","AL","698","1378778"
"2605500","REMINGTON COLLEGE - MOBILE CAMPUS","AL","2510","5542091"
"103600","SAMFORD UNIVERSITY","AL","385","960694"
"569100","SHELTON STATE COMMUNITY COLLEGE","AL","3120","7495608.3200000003"
"103800","SNEAD STATE COMMUNITY COLLEGE","AL","762","1787296.5900000001"
"2270400","SOUTHEASTERN BIBLE COLLEGE","AL","107","233612.75"
"3459300","SOUTHEASTERN SCHOOL OF COSMETOLOGY","AL","171","417091.65000000002"
"2503400","SOUTHERN CHRISTIAN UNIVERSITY","AL","205","492911"
"1123700","SOUTHERN COMMUNITY COLLEGE","AL","71","196581.82999999999"
