"OPEID","PELLID","NAME","State",,"Awards","Recipients"
"106100","1061","ALASKA PACIFIC UNIVERSITY","AK",2004,"300597","136"
"3160300","31603","ALASKA VOCATIONAL TECHNICAL CENTER","AK",2004,"235862","83"
"2541000","17066","CAREER ACADEMY","AK",2004,"508069.17999999999","225"
"2576900","17377","CHARTER COLLEGE","AK",2004,"518195.96999999997","275"
"3677300","36773","GALENA CITY SCHOOL DISTRICT - PROJECT EDUCATION RESIDENTIAL SCHOOL","AK",2004,"7594","4"
"3461300","34613","ILISAGVIK COLLEGE","AK",2004,"102016","54"
"106200","1062","SHELDON JACKSON COLLEGE","AK",2004,"157549.10999999999","63"
"1146200","11462","UNIVERSITY OF ALASKA - ANCHORAGE","AK",2004,"5053064.6699999999","2308"
"106300","1063","UNIVERSITY OF ALASKA FAIRBANKS","AK",2004,"3214710","1388"
"106500","1065","UNIVERSITY OF ALASKA SOUTHEAST","AK",2004,"736044.90000000002","357"
"100200","1002","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL",2004,"10203907","4446"
"103400","1034","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL",2004,"2484113.75","975"
"3032500","30325","ALABAMA STATE COLLEGE OF BARBER STYLING","AL",2004,"62701","17"
"100500","1005","ALABAMA STATE UNIVERSITY","AL",2004,"10933403","3758"
"100800","1008","ATHENS STATE UNIVERSITY","AL",2004,"2254803","966"
"100900","1009","AUBURN UNIVERSITY","AL",2004,"7808119","3020"
"831000","8310","AUBURN UNIVERSITY MONTGOMERY","AL",2004,"4490188","1770"
"570400","5704","BESSEMER STATE TECHNICAL COLLEGE","AL",2004,"1721273","989"
"573300","5733","BEVILL STATE COMMUNITY COLLEGE","AL",2004,"6872185.4199999999","2896"
"101200","1012","BIRMINGHAM SOUTHERN COLLEGE","AL",2004,"464597","174"
"103000","1030","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL",2004,"11918707.359999999","4530"
"3783300","37833","BLUE CLIFF CAREER COLLEGE","AL",2004,"119663.12","59"
"101300","1013","CALHOUN COMMUNITY COLLEGE-DECATUR","AL",2004,"7861216.25","3595"
"2341000","16592","CAPPS COLLEGE","AL",2004,"2538668","1132"
"3361400","33614","CAPPS COLLEGE","AL",2004,"966366","383"
"100700","1007","CENTRAL ALABAMA COMMUNITY COLLEGE","AL",2004,"2989758.5800000001","1222"
"1218200","12182","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL",2004,"3108172","1243"
"1055400","10554","CONCORDIA COLLEGE","AL",2004,"2115838.1699999999","757"
"101500","1015","ENTERPRISE-OZARK COMMUNITY COLLEGE","AL",2004,"2229429.1800000002","962"
"106000","1060","FAULKNER STATE COMMUNITY COLLEGE","AL",2004,"3682328","1606"
