"OPEID","PELLID","Name","State","Type & Control","Recipients","Awards"
"106100","1061","ALASKA PACIFIC UNIVERSITY","AK","private 4 year","141","332839"
"3160300","31603","ALASKA VOCATIONAL TECHNICAL CENTER","AK","public 2 year","90","211054.66"
"2541000","17066","CAREER ACADEMY","AK","proprietary","253","564801.25"
"2576900","17377","CHARTER COLLEGE","AK","proprietary","222","426661.01000000001"
"3461300","34613","ILISAGVIK COLLEGE","AK","public 2 year","36","88745.5"
"106200","1062","SHELDON JACKSON COLLEGE","AK","private 4 year","53","144749.42000000001"
"1146200","11462","UNIVERSITY OF ALASKA - ANCHORAGE","AK","public 4 year","2408","5345598.0499999998"
"106300","1063","UNIVERSITY OF ALASKA FAIRBANKS","AK","public 4 year","1272","2911951"
"106500","1065","UNIVERSITY OF ALASKA SOUTHEAST","AK","public 4 year","338","679106.90000000002"
"100200","1002","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","public 4 year","3576","9502320.1799999997"
"103400","1034","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","public 2 year","895","2209247.8599999999"
"3032500","30325","ALABAMA STATE COLLEGE OF BARBER STYLING","AL","proprietary","22","56059.660000000003"
"100500","1005","ALABAMA STATE UNIVERSITY","AL","public 4 year","3501","10203724"
"100800","1008","ATHENS STATE UNIVERSITY","AL","public 4 year","981","2225983"
"100900","1009","AUBURN UNIVERSITY","AL","public 4 year","2781","7385461"
"831000","8310","AUBURN UNIVERSITY MONTGOMERY","AL","public 4 year","1610","3850659"
"573300","5733","BEVILL STATE COMMUNITY COLLEGE","AL","public 2 year","2558","5802328.3700000001"
"101200","1012","BIRMINGHAM SOUTHERN COLLEGE","AL","private 4 year","156","378587"
"103000","1030","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","public 2 year","3586","9222584.0500000007"
"3783300","37833","BLUE CLIFF CAREER COLLEGE","AL","proprietary","65","127860.10000000001"
"101300","1013","CALHOUN COMMUNITY COLLEGE-DECATUR","AL","public 2 year","3218","6763031"
"2341000","16592","CAPPS COLLEGE","AL","proprietary","1028","2595993"
"3361400","33614","CAPPS COLLEGE","AL","proprietary","370","923217"
"100700","1007","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","public 2 year","1379","3243184.6299999999"
"1218200","12182","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL","public 2 year","1144","2801507.2400000002"
"1055400","10554","CONCORDIA COLLEGE","AL","private 4 year","757","2149758.5600000001"
"101500","1015","ENTERPRISE-OZARK COMMUNITY COLLEGE","AL","public 2 year","775","1758720"
"106000","1060","FAULKNER STATE COMMUNITY COLLEGE","AL","public 2 year","1670","3534605"
"100300","1003","FAULKNER UNIVERSITY","AL","private 4 year","1542","3773923"
"446200","4462","GADSDEN BUSINESS COLLEGE","AL","proprietary","82","131369"
"101700","1017","GADSDEN STATE COMMUNITY COLLEGE","AL","public 2 year","2453","5728016.8499999996"
"2323800","16445","GAITHER & COMPANY BEAUTY COLLEGE","AL","proprietary","43","128407.72"
"101800","1018","GEORGE C. WALLACE COMMUNITY COLLEGE","AL","public 2 year","1946","3387561.9700000002"
"787100","7871","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","AL","public 2 year","2710","7033827.3899999997"
"569900","9980","GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION","AL","public 2 year","1729","4314357.0199999996"
"573400","5734","H. COUNCILL TRENHOLM STATE TECHNICAL COLLEGE","AL","public 2 year","1943","1775926.8400000001"
"2199700","15370","HERITAGE CHRISTIAN UNIVERSITY","AL","private 4 year","47","115462"
"1019300","10193","HERZING COLLEGE","AL","proprietary","413","935288"
"101900","1019","HUNTINGDON COLLEGE","AL","private 4 year","244","582212"
"526000","5260","J F DRAKE STATE TECHNICAL COLLEGE","AL","public 2 year","611","1376635.1899999999"
"102000","1020","JACKSONVILLE STATE UNIVERSITY","AL","public 4 year","2889","7757067"
"102100","1021","JEFFERSON DAVIS COMMUNITY COLLEGE","AL","public 2 year","708","1586401.55"
"102200","1022","JEFFERSON STATE COMMUNITY COLLEGE","AL","public 2 year","2155","4436791"
"102300","1023","JUDSON COLLEGE","AL","private 4 year","133","310212.46000000002"
"105900","1059","LAWSON STATE COMMUNITY COLLEGE","AL","public 2 year","2492","6120983.8799999999"
"898800","8988","LURLEEN B. WALLACE COMMUNITY COLLEGE","AL","public 2 year","807","2058578.3799999999"
"102600","1026","MARION MILITARY INSTITUTE","AL","private 2 year","67","197142.14999999999"
"102800","1028","MILES COLLEGE","AL","private 4 year","1638","4783698.8899999997"
