"PELLID","OPEID","GAPSID","Name","State","Type & Control","Recipients","Awards"
"41386","4138600","6336","ALASKA CHRISTIAN COLLEGE","AK","Private 2 Year","17","69272"
"1061","106100","1060","ALASKA PACIFIC UNIVERSITY","AK","Private 4 Year","134","385254.46000000002"
"31603","3160300","4845","ALASKA VOCATIONAL TECHNICAL CENTER","AK","Public 2 year","86","225558.79999999999"
"17066","2541000","4372","CAREER ACADEMY","AK","Proprietary","345","998016.17000000004"
"17377","2576900","867","CHARTER COLLEGE","AK","Proprietary","826","1918719.6200000001"
"34613","3461300","5010","ILISAGVIK COLLEGE","AK","Public 2 year","28","71312"
"11462","1146200","3439","UNIVERSITY OF ALASKA - ANCHORAGE","AK","Public 4 year","2625","6917426.9500000002"
"1063","106300","10","UNIVERSITY OF ALASKA FAIRBANKS","AK","Public 4 year","1237","3438245"
"1065","106500","1061","UNIVERSITY OF ALASKA SOUTHEAST","AK","Public 4 year","322","768722"
"1002","100200","1027","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","Public 4 year","3041","10233917"
"1034","103400","1048","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","Public 2 year","908","2494920.1800000002"
"30325","3032500","4605","ALABAMA STATE COLLEGE OF BARBER STYLING","AL","Proprietary","17","61503"
"1005","100500","1031","ALABAMA STATE UNIVERSITY","AL","Public 4 year","3794","13045160"
"16885","2503400","4296","AMRIDGE UNIVERSITY","AL","Private 4 Year","233","620796"
"1008","100800","2","ATHENS STATE UNIVERSITY","AL","Public 4 year","1176","3285554"
"1009","100900","3","AUBURN UNIVERSITY","AL","Public 4 year","2793","9062149"
"8310","831000","3070","AUBURN UNIVERSITY MONTGOMERY","AL","Public 4 year","1576","4676141"
"5733","573300","2775","BEVILL STATE COMMUNITY COLLEGE","AL","Public 2 year","2965","8126371.2300000004"
"1012","101200","1033","BIRMINGHAM SOUTHERN COLLEGE","AL","Private 4 Year","245","848081.12"
"1030","103000","1045","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","Public 2 year","1075","1972487"
"37833","3783300","5527","BLUE CLIFF CAREER COLLEGE","AL","Proprietary","167","451180.31"
"1007","100700","1032","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","Public 2 year","1512","4284210.4199999999"
"12182","1218200","3515","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL","Public 2 year","1169","3322374.6899999999"
"41215","4121500","6241","COLUMBIA SOUTHERN UNIVERSITY","AL","Proprietary","771","1704169"
"10554","1055400","3357","CONCORDIA COLLEGE","AL","Private 4 Year","613","2042379.5900000001"
"1015","101500","1034","ENTERPRISE-OZARK COMMUNITY COLLEGE","AL","Public 2 year","1104","3076164.79"
"1060","106000","1059","FAULKNER STATE COMMUNITY COLLEGE","AL","Public 2 year","1918","4997756"
"1003","100300","5082","FAULKNER UNIVERSITY","AL","Private 4 Year","1857","5762612"
"33614","3361400","1011","FORTIS COLLEGE","AL","Proprietary","331","802116.93000000005"
"16592","2341000","4227","FORTIS COLLEGE","AL","Proprietary","1397","3615256.1099999999"
"1017","101700","1036","GADSDEN STATE COMMUNITY COLLEGE","AL","Public 2 year","3579","9975018.0700000003"
"1018","101800","1037","GEORGE C. WALLACE COMMUNITY COLLEGE","AL","Public 2 year","2372","5311478.3499999996"
"7871","787100","3013","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","AL","Public 2 year","2915","8481169.6799999997"
"9980","569900","2770","GEORGE CORLEY WALLACE STATE COMMUNITY COLLEGE-CLANTON EXTENTION","AL","Public 2 year","1695","5144865.7699999996"
"5734","573400","2776","H. COUNCILL TRENHOLM STATE TECHNICAL COLLEGE","AL","Public 2 year","1119","2402258.0800000001"
