"OPEID","Name","State","Type & Control","Recips","Awards"
"41386","ALASKA CHRISTIAN COLLEGE","AK","Private 2 Year","36","133425"
"1061","ALASKA PACIFIC UNIVERSITY","AK","Private 4 Year","160","519326"
"31603","ALASKA VOCATIONAL TECHNICAL CENTER","AK","Public 2 Year","98","467606"
"25410","CAREER ACADEMY","AK","Proprietary 2 Year","352","1141328"
"25769","CHARTER COLLEGE","AK","Proprietary 4 Year","1721","6152843"
"34613","ILISAGVIK COLLEGE","AK","Public 2 Year","47","138653"
"11462","UNIVERSITY OF ALASKA ANCHORAGE","AK","Public 4 Year","3326","10483721"
"1063","UNIVERSITY OF ALASKA FAIRBANKS","AK","Public 4 Year","1589","5276541"
"1065","UNIVERSITY OF ALASKA SOUTHEAST","AK","Public 4 Year","449","1385029"
"1002","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","Public 4 Year","3163","14753439"
"1034","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","Public 2 Year","1112","4213297"
"30325","ALABAMA STATE COLLEGE OF BARBER STYLING","AL","Proprietary 2 Year","19","88200"
"1005","ALABAMA STATE UNIVERSITY","AL","Public 4 Year","4025","18596151"
"25034","AMRIDGE UNIVERSITY","AL","Private 4 Year","294","1179857"
"1008","ATHENS STATE UNIVERSITY","AL","Public 4 Year","1491","5661819"
"1009","AUBURN UNIVERSITY","AL","Public 4 Year","3290","14007835"
"8310","AUBURN UNIVERSITY MONTGOMERY","AL","Public 4 Year","2010","7376572"
"5733","BEVILL STATE COMMUNITY COLLEGE","AL","Public 2 Year","3879","13567566"
"1012","BIRMINGHAM SOUTHERN COLLEGE","AL","Private 4 Year","332","1451291"
"1030","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","Public 2 Year","2717","9517987"
"37833","BLUE CLIFF CAREER COLLEGE","AL","Proprietary 2 Year","153","547691"
"40663","CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND","AL","Proprietary 2 Year","21","96620"
"1007","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","Public 2 Year","1874","7414274"
"12182","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","AL","Public 2 Year","1336","4987663"
"41215","COLUMBIA SOUTHERN UNIVERSITY","AL","Proprietary 4 Year","2283","8330965"
"10554","CONCORDIA COLLEGE","AL","Private 4 Year","588","2439542"
"1015","ENTERPRISE STATE COMMUNITY COLLEGE","AL","Public 2 Year","1442","5897811"
"1060","FAULKNER STATE COMMUNITY COLLEGE","AL","Public 2 Year","2546","8979862"
"1003","FAULKNER UNIVERSITY","AL","Private 4 Year","2090","8594722"
"23410","FORTIS COLLEGE","AL","Proprietary 2 Year","1959","7121079"
"33614","FORTIS COLLEGE","AL","Proprietary 2 Year","355","1191104"
"1017","GADSDEN STATE COMMUNITY COLLEGE","AL","Public 2 Year","4628","15462769"
