"OPEID","NAME","CITY","STATE","Type & Control","Recipients","Awards"
"884300","ALASKA BIBLE COLLEGE","GLENNALLEN","AK","Private 4 Year","12","45095"
"4138600","ALASKA CHRISTIAN COLLEGE","SOLDOTNA","AK","Private 2 Year","45","178728"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private 4 Year","185","601106"
"3160300","AVTEC","SEWARD","AK","Public 2 Year","112","429151"
"2541000","CAREER ACADEMY","ANCHORAGE","AK","Proprietary 2 Year","519","1916410"
"2576900","CHARTER COLLEGE","ANCHORAGE","AK","Proprietary 4 Year","3228","14074749"
"3461300","ILISAGVIK COLLEGE","BARROW","AK","Public 2 Year","44","133052"
"1146200","UNIVERSITY OF ALASKA ANCHORAGE","ANCHORAGE","AK","Public 4 Year","4551","15558411"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public 4 Year","2101","7189746"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public 4 Year","609","1862408"
"100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public 4 Year","3524","16647538"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","Public 2 Year","1283","5260047"
"3032500","ALABAMA STATE CLG BARBER STYLING","BIRMINGHAM","AL","Proprietary 2 Year","33","200485"
"100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public 4 Year","4094","19667888.999999899"
"2503400","AMRIDGE UNIVERSITY","MONTGOMERY","AL","Private 4 Year","311","1374419"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public 4 Year","1594","6574954"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public 4 Year","3762","16170834"
"831000","AUBURN UNIVERSITY-MONTGOMERY","MONTGOMERY","AL","Public 4 Year","2202","8679743"
"573300","BEVILL STATE CMTY COLLEGE-WALKER","SUMITON","AL","Public 2 Year","3833","14238093"
"101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private 4 Year","360","1536499"
"103000","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","Public 2 Year","3057","12267286"
"3783300","BLUE CLIFF CAREER COLLEGE","MOBILE","AL","Proprietary 2 Year","140","525728"
"101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public 2 Year","6344","21983992.000000101"
