"OPEID","NAME","CITY","STATE","Insttype","Recips","Awards"
"884300","ALASKA BIBLE COLLEGE","GLENNALLEN","AK","Private 4 Year","15","64426"
"4138600","ALASKA CHRISTIAN COLLEGE","SOLDOTNA","AK","Private 2 Year","56","200063"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private 4 Year","157","518522"
"3160300","AVTEC","SEWARD","AK","Public 2 Year","86","337220"
"2541000","CAREER ACADEMY","ANCHORAGE","AK","Proprietary 2 Year","421","1370255"
"2576900","CHARTER COLLEGE","ANCHORAGE","AK","Proprietary 4 Year","3969","13335174"
"3461300","ILISAGVIK COLLEGE","BARROW","AK","Public 2 Year","44","140503"
"1146200","UNIVERSITY OF ALASKA ANCHORAGE","ANCHORAGE","AK","Public 4 Year","5025","16562023"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public 4 Year","2222","7331399"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public 4 Year","601","1872920"
"100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public 4 Year","3149","14289424"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","Public 2 Year","1195","4340788"
"3032500","ALABAMA STATE CLG BARBER STYLING","BIRMINGHAM","AL","Proprietary 2 Year","34","122771"
"100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public 4 Year","4233","18201252"
"2503400","AMRIDGE UNIVERSITY","MONTGOMERY","AL","Private 4 Year","333","1120488"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public 4 Year","1706","6063860"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public 4 Year","3744","14717078"
"831000","AUBURN UNIVERSITY-MONTGOMERY","MONTGOMERY","AL","Public 4 Year","2055","7420165"
"573300","BEVILL STATE CMTY COLLEGE-WALKER","SUMITON","AL","Public 2 Year","3285","11042212"
