"OPE ID","Institution Name","Institution City","Institution State","Institution Type And Control","Total Awards","Total Recipients"
"100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public - 4 Year","13738784","3120"
"100300","FAULKNER UNIVERSITY","MONTGOMERY","AL","Private - 4 Year","7957840","2038"
"100400","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","Public - 4 Year","4656149","1147"
"100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public - 4 Year","18675520","4423"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public - 2 Year","6073038","1681"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public - 4 Year","5725062","1594"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public - 4 Year","14097069","3573"
"101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private - 4 Year","1019403","260"
"101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public - 2 Year","18339651","5674"
"101500","ENTERPRISE STATE COMMUNITY COLLEGE","ENTERPRISE","AL","Public - 2 Year","5732003","1586"
"101600","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","Public - 4 Year","9793118","2444"
"101700","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","Public - 2 Year","14902951","4498"
"101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public - 2 Year","11106162","3271"
"101900","HUNTINGDON COLLEGE","MONTGOMERY","AL","Private - 4 Year","2021234","517"
"102000","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","Public - 4 Year","15378026","3883"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","Public - 2 Year","2757990","781"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public - 2 Year","12914986","4045"
"102300","JUDSON COLLEGE","MARION","AL","Private - 4 Year","732285","175"
"102400","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","Public - 4 Year","5040059","1239"
"102600","MARION MILITARY INSTITUTE","MARION","AL","Public - 2 Year","778024","180"
"102800","MILES COLLEGE","FAIRFIELD","AL","Private - 4 Year","6771794","1531"
"102900","UNIVERSITY OF MOBILE","MOBILE","AL","Private - 4 Year","2909785","779"
"103000","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","Public - 2 Year","11347519","3244"
"103100","NORTHEAST ALABAMA STATE CMNTY COLG","RAINSVILLE","AL","Public - 2 Year","8684128","2426"
"569702","NORTHWEST-SHOALS C.C.-PHIL CAMPBELL","PHIL CAMPBELL","AL","Public - 2 Year","2168967","620"
"103300","OAKWOOD COLLEGE","HUNTSVILLE","AL","Private - 4 Year","4471067","1066"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","Public - 2 Year","3542965","971"
"103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private - 4 Year","1725296","454"
"103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public - 2 Year","5987098","1650"
"104000","SOUTHERN UNION STATE COMMUNITY CLG","WADLEY","AL","Public - 2 Year","10409900","2736"
"104100","SPRING HILL COLLEGE","MOBILE","AL","Private - 4 Year","1649895","407"
"104400","STILLMAN COLLEGE","TUSCALOOSA","AL","Private - 4 Year","3268854","739"
"104600","TALLADEGA COLLEGE","TALLADEGA","AL","Private - 4 Year","3551387","777"
"104700","TROY UNIVERSITY","TROY","AL","Public - 4 Year","33471263","9363"
"105000","TUSKEGEE UNIVERSITY","TUSKEGEE","AL","Private - 4 Year","7211551","1613"
"105100","UNIVERSITY OF ALABAMA (THE)","TUSCALOOSA","AL","Public - 4 Year","24560513","6236"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public - 4 Year","17022497","4333"
"105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","Public - 4 Year","7776157","2040"
"105700","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","Public - 4 Year","18584983","4616"
"105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public - 2 Year","10472632","2960"
"106000","FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","Public - 2 Year","9442605","2673"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private - 4 Year","435536","130"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public - 4 Year","7319455","2217"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public - 4 Year","1972613","584"
"107100","ARIZONA WESTERN COLLEGE","YUMA","AZ","Public - 2 Year","18095003","5607"
"107200","COCHISE COLLEGE","DOUGLAS","AZ","Public - 2 Year","5297666","1650"
"107300","EASTERN ARIZONA COLLEGE","THATCHER","AZ","Public - 2 Year","4818263","1335"
"107400","GRAND CANYON UNIVERSITY","PHOENIX","AZ","Proprietary - 4 Year","93099468","25179"
"107600","GLENDALE COMMUNITY COLLEGE","GLENDALE","AZ","Public - 2 Year","32313817","9923"
"107700","MESA COMMUNITY COLLEGE","MESA","AZ","Public - 2 Year","34938683","11184"
"107800","PHOENIX COLLEGE","PHOENIX","AZ","Public - 2 Year","23346975","7548"
"107900","YAVAPAI COLLEGE","PRESCOTT","AZ","Public - 2 Year","10372835","3222"
"108100","ARIZONA STATE UNIV (ALL CAMPUSES)","TEMPE","AZ","Public - 4 Year","95962723","24131"
"108200","NORTHERN ARIZONA UNIVERSITY","FLAGSTAFF","AZ","Public - 4 Year","35113307","8952"
"108300","UNIVERSITY OF ARIZONA","TUCSON","AZ","Public - 4 Year","45006305","10818"
"108500","UNIV ARKANSAS MONTICELLO","MONTICELLO","AR","Public - 4 Year","9389213","2412"
"108600","UNIV OF ARKANSAS AT PINE BLUFF","PINE BLUFF","AR","Public - 4 Year","8741131","2005"
"108700","ARKANSAS BAPTIST COLLEGE","LITTLE ROCK","AR","Private - 4 Year","4093460","1053"
"108800","LYON COLLEGE","BATESVILLE","AR","Private - 4 Year","1166536","265"
"108900","ARKANSAS TECH UNIVERSITY","RUSSELLVILLE","AR","Public - 4 Year","20612096","5285"
"109000","ARKANSAS STATE UNIVERSITY","STATE UNIVERSITY","AR","Public - 4 Year","27537628","6965"
"109100","ARKANSAS STATE UNIVERSITY - BEEBE","BEEBE","AR","Public - 2 Year","6267309","1638"
"109200","UNIVERSITY OF CENTRAL ARKANSAS","CONWAY","AR","Public - 4 Year","16211442","4013"
"109300","CENTRAL BAPTIST COLLEGE","CONWAY","AR","Private - 4 Year","1656339","410"
"109400","UNIVERSITY OF THE OZARKS","CLARKSVILLE","AR","Private - 4 Year","997022","233"
"109500","CROWLEYS RIDGE COLLEGE","PARAGOULD","AR","Private - 4 Year","369559","90"
"109700","HARDING UNIVERSITY","SEARCY","AR","Private - 4 Year","4700487","1189"
"109800","HENDERSON STATE UNIVERSITY","ARKADELPHIA","AR","Public - 4 Year","7661154","1868"
"109900","HENDRIX COLLEGE","CONWAY","AR","Private - 4 Year","1034996","247"
"110000","JOHN BROWN UNIVERSITY","SILOAM SPRINGS","AR","Private - 4 Year","2593865","703"
"110100","UNIV ARKANSAS LITTLE ROCK","LITTLE ROCK","AR","Public - 4 Year","17208616","4638"
"110200","OUACHITA BAPTIST UNIVERSITY","ARKADELPHIA","AR","Private - 4 Year","1664940","413"
"110300","PHILANDER SMITH COLLEGE","LITTLE ROCK","AR","Private - 4 Year","2227181","497"
"110400","PHILLIPS COUNTY COMMUNITY COLLEGE","HELENA","AR","Public - 2 Year","3521572","966"
"110500","SHORTER COLLEGE","NORTH LITTLE ROCK","AR","Private - 2 Year","794706","201"
"110600","WILLIAMS BAPTIST COLLEGE","WALNUT RIDGE","AR","Private - 4 Year","1267807","305"
"110700","SOUTHERN ARKANSAS UNIVERSITY","MAGNOLIA","AR","Public - 4 Year","6506157","1563"
"110800","UNIV ARKANSAS FAYETTEVILLE","FAYETTEVILLE","AR","Public - 4 Year","20575366","5190"
"110900","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN","LITTLE ROCK","AR","Public - 4 Year","1313653","325"
"111000","UNIVERSITY OF ARKANSAS-FORT SMITH","FORT SMITH","AR","Public - 4 Year","15818035","4144"
"111100","ALLAN HANCOCK COLLEGE","SANTA MARIA","CA","Public - 2 Year","10324809","3101"
"111300","ANTELOPE VALLEY COLLEGE","LANCASTER","CA","Public - 2 Year","28506108","8929"
"111600","ART CENTER COLLEGE OF DESIGN","PASADENA","CA","Private - 4 Year","3226944","759"
"111700","AZUSA PACIFIC UNIVERSITY","AZUSA","CA","Private - 4 Year","10316736","2707"
"111800","BAKERSFIELD COLLEGE","BAKERSFIELD","CA","Public - 2 Year","25184701","8167"
"111900","BARSTOW COMMUNITY COLLEGE","BARSTOW","CA","Public - 2 Year","7110035","2372"
"112200","BIOLA UNIVERSITY","LA MIRADA","CA","Private - 4 Year","5627095","1415"
"112300","BROOKS INSTITUTE","SANTA BARBARA","CA","Proprietary - 4 Year","1493466","337"
"112400","CABRILLO COLLEGE","APTOS","CA","Public - 2 Year","12643026","3908"
"112500","CALIFORNIA BAPTIST UNIVERSITY","RIVERSIDE","CA","Private - 4 Year","11071905","2865"
"112700","CALIFORNIA COLLEGE OF THE ARTS","SAN FRANCISCO","CA","Private - 4 Year","2159484","506"
"113100","CALIFORNIA INSTITUTE OF TECHNOLOGY","PASADENA","CA","Private - 4 Year","446461","105"
"113200","CALIFORNIA INSTITUTE OF THE ARTS","VALENCIA","CA","Private - 4 Year","1408609","320"
"113300","CALIFORNIA LUTHERAN UNIVERSITY","THOUSAND OAKS","CA","Private - 4 Year","3272151","856"
"113400","CALIFORNIA MARITIME ACADEMY","VALLEJO","CA","Public - 4 Year","1759765","378"
"113700","CALIF STATE UNIV-FULLERTON","FULLERTON","CA","Public - 4 Year","58713281","14084"
"113800","CALIFORNIA STATE UNIVERSITY, EAST BAY","HAYWARD","CA","Public - 4 Year","24389793","5993"
"113900","CALIF STATE UNIV-LONG BEACH","LONG BEACH","CA","Public - 4 Year","65979795","15502"
