"OPE_ID","NAME","CITY","STATE","Institution Type & Control","Total Recipients","Total Awards"
"100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public 4 Year","3111","13915991"
"100300","FAULKNER UNIVERSITY","MONTGOMERY","AL","Private 4 Year","1943","7406640"
"100400","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","Public 4 Year","1103","4597237"
"100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public 4 Year","4388","18811092"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public 2 Year","1428","5070075"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public 4 Year","1457","5264535"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public 4 Year","3361","13616645"
"101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private 4 Year","229","969913"
"101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public 2 Year","5501","18105408"
"101500","ENTERPRISE STATE COMMUNITY COLLEGE","ENTERPRISE","AL","Public 2 Year","1403","5020266"
"101600","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","Public 4 Year","2387","9594086"
"101700","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","Public 2 Year","4227","14240979"
"101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public 2 Year","3297","11334732"
"101900","HUNTINGDON COLLEGE","MONTGOMERY","AL","Private 4 Year","512","2056986"
"102000","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","Public 4 Year","3538","14282371"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","Public 2 Year","818","2898556"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","3761","11921268"
"102300","JUDSON COLLEGE","MARION","AL","Private 4 Year","157","642222"
"102400","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","Public 4 Year","1142","4750760"
"102600","MARION MILITARY INSTITUTE","MARION","AL","Public 2 Year","169","719987"
"102800","MILES COLLEGE","FAIRFIELD","AL","Private 4 Year","1642","7132918"
"102900","UNIVERSITY OF MOBILE","MOBILE","AL","Private 4 Year","729","2733469"
"103000","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","Public 2 Year","3181","11509828"
"103100","NORTHEAST ALABAMA STATE CMNTY COLG","RAINSVILLE","AL","Public 2 Year","2119","7411805"
"569702","NORTHWEST-SHOALS C.C.-PHIL CAMPBELL","PHIL CAMPBELL","AL","Public 2 Year","2","6819"
"103300","OAKWOOD COLLEGE","HUNTSVILLE","AL","Private 4 Year","1010","4380930"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","Public 2 Year","958","3503622"
"103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private 4 Year","425","1699799"
"103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public 2 Year","1594","6053322"
"104000","SOUTHERN UNION STATE COMMUNITY CLG","WADLEY","AL","Public 2 Year","2652","10140193"
"104100","SPRING HILL COLLEGE","MOBILE","AL","Private 4 Year","436","1865642"
"104400","STILLMAN COLLEGE","TUSCALOOSA","AL","Private 4 Year","708","3066366"
"104600","TALLADEGA COLLEGE","TALLADEGA","AL","Private 4 Year","664","3145405"
"104700","TROY UNIVERSITY","TROY","AL","Public 4 Year","8248","29701142"
"105000","TUSKEGEE UNIVERSITY","TUSKEGEE","AL","Private 4 Year","1632","7550673"
"105100","UNIVERSITY OF ALABAMA (THE)","TUSCALOOSA","AL","Public 4 Year","6356","25637953"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public 4 Year","4282","17208050"
"105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","Public 4 Year","1866","7376968"
"105700","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","Public 4 Year","4790","19349505"
"105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","2786","9867607"
"106000","FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","Public 2 Year","2580","9390501"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private 4 Year","122","425505"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public 4 Year","2140","7173114"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public 4 Year","556","1844017"
"106900","ISLANDS COLLEGE","SITKA","AK","Public 2 Year","1","1995"
"107100","ARIZONA WESTERN COLLEGE","YUMA","AZ","Public 2 Year","5286","17227723"
"107200","COCHISE COLLEGE","DOUGLAS","AZ","Public 2 Year","1838","6071267"
"107300","EASTERN ARIZONA COLLEGE","THATCHER","AZ","Public 2 Year","1387","4922326"
"107400","GRAND CANYON UNIVERSITY","PHOENIX","AZ","Proprietary 4 Year","26788","100380422"
"107600","GLENDALE COMMUNITY COLLEGE","GLENDALE","AZ","Public 2 Year","9624","31779085"
"107700","MESA COMMUNITY COLLEGE","MESA","AZ","Public 2 Year","9680","30940919"
"107800","PHOENIX COLLEGE","PHOENIX","AZ","Public 2 Year","7033","22488704"
"107900","YAVAPAI COLLEGE","PRESCOTT","AZ","Public 2 Year","3260","10713345"
"108100","ARIZONA STATE UNIV (ALL CAMPUSES)","TEMPE","AZ","Public 4 Year","24395","97291826"
