"OPE_ID","Institution_Name","Institution_City","Institution_State","Institution Type And Control","Total_Awards","Total_Recipients"
"884300","ALASKA BIBLE COLLEGE","GLENNALLEN","AK","Private 4 Year","38722","10"
"2541000","ALASKA CAREER COLLEGE","ANCHORAGE","AK","Proprietary 2 Year","1611353","483"
"4138600","ALASKA CHRISTIAN COLLEGE","SOLDOTNA","AK","Private 2 Year","360426","90"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private 4 Year","346595","98"
"3160300","AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY","SEWARD","AK","Public 2 Year","333160","82"
"2576900","CHARTER COLLEGE","ANCHORAGE","AK","Proprietary 4 Year","13320484","3767"
"3461300","ILISAGVIK COLLEGE","BARROW","AK","Public 2 Year","125004","35"
"1146200","UNIVERSITY OF ALASKA ANCHORAGE","ANCHORAGE","AK","Public 4 Year","15211348","4581"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public 4 Year","6778257","2031"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public 4 Year","1862675","557"
"100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public 4 Year","14333503","3225"
"103400","ALABAMA SOUTHERN COMMUNITY COLLEGE","MONROEVILLE","AL","Public 2 Year","3521634","969"
"3032500","ALABAMA STATE CLG BARBER STYLING","BIRMINGHAM","AL","Proprietary 2 Year","68165","26"
"100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public 4 Year","17126687","3883"
"2503400","AMRIDGE UNIVERSITY","MONTGOMERY","AL","Private 4 Year","893017","283"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public 4 Year","5478528","1537"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public 4 Year","14510920","3561"
"831000","AUBURN UNIVERSITY-MONTGOMERY","MONTGOMERY","AL","Public 4 Year","8157123","2089"
"573300","BEVILL STATE CMTY COLLEGE-WALKER","SUMITON","AL","Public 2 Year","8881925","2509"
"101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private 4 Year","1056226","242"
"103000","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","Public 2 Year","10212626","2836"
"3783300","BLUE CLIFF CAREER COLLEGE","MOBILE","AL","Proprietary 2 Year","250820","73"
"101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public 2 Year","16814831","5055"
"4066300","CARDIAC AND VASCULAR INSTITUTE OF ULTRAS","MOBILE","AL","Proprietary 2 Year","168627","39"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public 2 Year","4651880","1286"
"1218200","CHATTAHOOCHEE VALLEY CMTY CLG","PHENIX CITY","AL","Public 2 Year","5124990","1396"
"4121500","COLUMBIA SOUTHERN UNIVERSITY","ORANGE BEACH","AL","Proprietary 4 Year","22306632","6552"
"1055400","CONCORDIA COLLEGE","SELMA","AL","Private 4 Year","2168796","491"
"101500","ENTERPRISE STATE COMMUNITY COLLEGE","ENTERPRISE","AL","Public 2 Year","4427771","1204"
"106000","FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","Public 2 Year","9143127","2528"
"100300","FAULKNER UNIVERSITY","MONTGOMERY","AL","Private 4 Year","7477186","1875"
"2341000","FORTIS COLLEGE","MOBILE","AL","Proprietary 2 Year","6582420","1882"
"3361400","FORTIS COLLEGE","FOLEY","AL","Proprietary 2 Year","1359350","407"
"101706","GADSDEN STATE COMM. COLLEGE-AYERS CAMPUS","ANNISTON","AL","Public 2 Year","5730","1"
"101700","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","Public 2 Year","12506123","3713"
"101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public 2 Year","11441663","3275"
"787100","GEORGE C WALLACE STATE CMTY CLG","HANCEVILLE","AL","Public 2 Year","11202067","3182"
"569900","GEORGE C WALLACE STATE CMTY COLLEGE","SELMA","AL","Public 2 Year","6038847","1625"
"573400","H. COUNCILL TRENHOLM STATE TECH COLLEGE","MONTGOMERY","AL","Public 2 Year","2343054","850"
"4187300","HAIR ACADEMY (THE)","MONTGOMERY","AL","Proprietary 2 Year","57499","11"
"2199700","HERITAGE CHRISTIAN UNIVERSITY","FLORENCE","AL","Private 4 Year","147295","41"
"101900","HUNTINGDON COLLEGE","MONTGOMERY","AL","Private 4 Year","2223657","532"
"3894300","HUNTSVILLE BIBLE COLLEGE","HUNTSVILLE","AL","Private 4 Year","294587","97"
"526000","J.F. DRAKE STATE TECH COLLEGE","HUNTSVILLE","AL","Public 2 Year","3331229","997"
"102000","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","Public 4 Year","13946644","3437"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","Public 2 Year","2711267","780"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","11266093","3482"
"102300","JUDSON COLLEGE","MARION","AL","Private 4 Year","835207","253"
"105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","9886958","2767"
"898800","LURLEEN B WALLACE COMMUNITY COLLEGE","ANDALUSIA","AL","Public 2 Year","4104441","1114"
"102600","MARION MILITARY INSTITUTE","MARION","AL","Public 2 Year","815166","188"
"102800","MILES COLLEGE","FAIRFIELD","AL","Private 4 Year","7823147","1732"
"4187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","ALBERTVILLE","AL","Proprietary 2 Year","453407","111"
"103100","NORTHEAST ALABAMA STATE CMNTY COLG","RAINSVILLE","AL","Public 2 Year","6531178","1875"
"569700","NORTHWEST- SHOALS COMMUNITY COLLEGE","MUSCLE SHOALS","AL","Public 2 Year","8817478","2565"
"569702","NORTHWEST-SHOALS C.C.-PHIL CAMPBELL","PHIL CAMPBELL","AL","Public 2 Year","1490","1"
"4217900","NUNATION SCHOOL OF COSMETOLOGY","FAIRFIELD","AL","Proprietary 2 Year","46722","12"
"103300","OAKWOOD COLLEGE","HUNTSVILLE","AL","Private 4 Year","4440128","1019"
"2285000","PAUL MITCHELL THE SCHOOL HUNTSVILLE","MADISON","AL","Proprietary 2 Year","329201","92"
"2296000","PRINCE INSTITUTE OF PROFESSIONAL STUDIES","MONTGOMERY","AL","Proprietary 2 Year","340535","90"
