"OPE_ID","INSTITUTION NAME","INSTITUTION CITY","INSTITUTION STATE","INSTITUTION TYPE AND CONTROL","TOTAL AWARDS","TOTAL RECIPIENTS"
"100200","ALABAMA AGRCLTL & MECHL UNIV","NORMAL","AL","Public 4yr","18323395","3701"
"100300","FAULKNER UNIVERSITY","MONTGOMERY","AL","Private 4yr","7229388","1700"
"100400","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","Public 4yr","4635422","994"
"100500","ALABAMA STATE UNIVERSITY","MONTGOMERY","AL","Public 4yr","14871686","3308"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public 2yr","3795433","948"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public 4yr","5794023","1481"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public 4yr","17652120","3840"
"101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private 4yr","1274061","290"
"101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public 2yr","12751291","3680"
"101500","ENTERPRISE STATE COMMUNITY COLLEGE","ENTERPRISE","AL","Public 2yr","3590549","880"
"101600","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","Public 4yr","11302753","2480"
"101700","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","Public 2yr","11780531","2953"
"101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public 2yr","10498705","2721"
"101900","HUNTINGDON COLLEGE","MONTGOMERY","AL","Private 4yr","2349143","517"
"102000","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","Public 4yr","13807612","3132"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2yr","10767431","3131"
"102300","JUDSON COLLEGE","MARION","AL","Private 4yr","729604","218"
"102400","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","Public 4yr","5814412","1285"
"102600","MARION MILITARY INSTITUTE","MARION","AL","Public 2yr","892170","187"
"102800","MILES COLLEGE","FAIRFIELD","AL","Private 4yr","8398023","1770"
"102900","UNIVERSITY OF MOBILE","MOBILE","AL","Private 4yr","2706222","637"
"103000","BISHOP STATE COMMUNITY COLLEGE","MOBILE","AL","Public 2yr","8964352","2229"
"103100","NORTHEAST ALABAMA STATE CMNTY COLG","RAINSVILLE","AL","Public 2yr","6546853","1590"
"103300","OAKWOOD COLLEGE","HUNTSVILLE","AL","Private 4yr","3822410","882"
"103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private 4yr","1893788","419"
"103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public 2yr","5233885","1231"
"104000","SOUTHERN UNION STATE COMMUNITY CLG","WADLEY","AL","Public 2yr","9172478","2134"
"104100","SPRING HILL COLLEGE","MOBILE","AL","Private 4yr","2409474","507"
"104400","STILLMAN COLLEGE","TUSCALOOSA","AL","Private 4yr","2682483","541"
"104600","TALLADEGA COLLEGE","TALLADEGA","AL","Private 4yr","4205703","763"
"104700","TROY UNIVERSITY","TROY","AL","Public 4yr","24656165","6205"
"105000","TUSKEGEE UNIVERSITY","TUSKEGEE","AL","Private 4yr","7230454","1459"
"105100","UNIVERSITY OF ALABAMA (THE)","TUSCALOOSA","AL","Public 4yr","28325422","6314"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public 4yr","24077413","5216"
"105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","Public 4yr","8648852","2051"
"105700","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","Public 4yr","21158650","4546"
"105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2yr","10572386","2696"
"106000","COASTAL ALABAMA COMMUNITY COLLEGE","BAY MINETTE","AL","Public 2yr","13067215","3089"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private 4yr","472520","122"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public 4yr","6069904","1791"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public 4yr","1478450","432"
"107100","ARIZONA WESTERN COLLEGE","YUMA","AZ","Public 2yr","13442076","4009"
"107200","COCHISE COLLEGE","SIERRA VISTA","AZ","Public 2yr","5979905","1606"
"107300","EASTERN ARIZONA COLLEGE","THATCHER","AZ","Public 2yr","5123003","1343"
